ANO_EDITAL;EDITAL;NAT_OBJETO;DESC_OBJETO;CAT_OBJETO;NOME_LICITANTE;CNPJ;CPF;VL_PROPOSTA;OBS
2011;CA S 19/2011;2;CONSULTORIA;26;OTEC – OTIMIZAÇÃO ENERGÉTICA PARA ARQUITETURA E CONSTRUÇÃO LTDA.;7,90933E+12;;238.000,00;
2011;CA S 19/2011;2;CONSULTORIA;26;CTE - CENTRO DE TECNOLOGIA DE EDIFICAÇÕES LTDA;6,40306E+13;;260.000,00;
2011;CA S 19/2011;2;CONSULTORIA;26;OTEC – OTIMIZAÇÃO ENERGÉTICA PARA ARQUITETURA E CONSTRUÇÃO LTDA.;7,90933E+12;;391.100,00;
2011;CA S 19/2011;2;CONSULTORIA;26;CTE - CENTRO DE TECNOLOGIA DE EDIFICAÇÕES LTDA;6,40306E+13;;460.000,00;
2012;COM O 01/2012;1;ARQUITETURA;40;"ESCRITORIO PAULISTANO DE ARQUITETURA S;/S LTDA.";5,665E+12;;10.000,00;ARQUITETURA
2012;COM O 01/2012;1;ARQUITETURA;40;SIDONIO PORTO ARQUITETOS ASSOCIADOS LTDA;4,90896E+13;;15.000,00;ARQUITETURA
2012;COM O 01/2012;1;ARQUITETURA;40;DAL PIAN ARQUITETOS ASSOCIADOS S/S LTDA;3,88847E+13;;20.000,00;ARQUITETURA
2012;COM O 01/2012;1;ARQUITETURA;40;SPADONI & ASSOCIADOS ARQUITETURA E URBANISMO LTDA;1,419E+12;;26.000,00;ARQUITETURA
2012;COM O 01/2012;1;ARQUITETURA;40;SIAA MPDM Arquitetos Ltda e Helena Ayoub Silva e Arquitetos Associados Ltda;5,36238E+12;;36.000,00;ARQUITETURA
2015;PE-S 217/2015;2;COLETA, TRANSPORTE E DESTINAÇÃO FINAL;40;MULTILIXO REMOÇÕES DE LIXO S/S LTDA;1,38244E+12;;385.800,00;COLETA, TRANSPORTE E DESTINAÇÃO FINAL
2016;PPS12000125/2016;2;SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO FINAL AMBIENTALMENTE CORRETA DE RESÍDUOS ORGÂNICOS, CLASSE II PARA A UNIDADE BELENZINHO.;40;DEPÓSITO DE APARAS DE PAPÉIS SÃO JOSÉ LTDA EPP;4,66599E+13;;1.801.560,00;SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO FINAL AMBIENTALMENTE CORRETA DE RESÍDUOS ORGÂNICOS, CLASSE II PARA A UNIDADE BELENZINHO.
2016;PPS12000125/2016;2;SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO FINAL AMBIENTALMENTE CORRETA DE RESÍDUOS ORGÂNICOS, CLASSE II PARA A UNIDADE BELENZINHO.;40;ECOBLENDING AMBIENTAL LTDA EPP;7,95806E+12;;2.028.000,00;SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO FINAL AMBIENTALMENTE CORRETA DE RESÍDUOS ORGÂNICOS, CLASSE II PARA A UNIDADE BELENZINHO.
2016;PPS12000125/2016;2;SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO FINAL AMBIENTALMENTE CORRETA DE RESÍDUOS ORGÂNICOS, CLASSE II PARA A UNIDADE BELENZINHO.;40;COLETA INDUSTRIAL FIMAVAN LTDA;1,89531E+12;;2.034.000,00;SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO FINAL AMBIENTALMENTE CORRETA DE RESÍDUOS ORGÂNICOS, CLASSE II PARA A UNIDADE BELENZINHO.
2016;PPS12000125/2016;2;SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO FINAL AMBIENTALMENTE CORRETA DE RESÍDUOS ORGÂNICOS, CLASSE II PARA A UNIDADE BELENZINHO.;40;ECOTRANS AMBIENTAL SISTEMA DE COLETA E DESTINAÇÃO DE RESÍDUOS LTDA ME;8,62484E+12;;2.040.000,00;SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO FINAL AMBIENTALMENTE CORRETA DE RESÍDUOS ORGÂNICOS, CLASSE II PARA A UNIDADE BELENZINHO.
2016;PPS12000125/2016;2;SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO FINAL AMBIENTALMENTE CORRETA DE RESÍDUOS ORGÂNICOS, CLASSE II PARA A UNIDADE BELENZINHO.;40;PROACTIVA SERVIÇOS AMBIENTAIS INDUSTRIA E COMERCIO LTDA;1,6002E+12;;2.176.755,00;SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO FINAL AMBIENTALMENTE CORRETA DE RESÍDUOS ORGÂNICOS, CLASSE II PARA A UNIDADE BELENZINHO.
2016;PPS12000125/2016;2;SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO FINAL AMBIENTALMENTE CORRETA DE RESÍDUOS ORGÂNICOS, CLASSE II PARA A UNIDADE BELENZINHO.;40;MULTILIXO REMOÇÕES DE LIXO S/S LTDA;1,38244E+12;;2.996.133,00;SERVIÇOS DE COLETA, TRANSPORTE E DESTINAÇÃO FINAL AMBIENTALMENTE CORRETA DE RESÍDUOS ORGÂNICOS, CLASSE II PARA A UNIDADE BELENZINHO.
2017;CAO12000019/2017;1;ELABORAÇÃO DE PROJETO DE ESTRUTURA DE CONCRETO E METÁLICA PARA A NOVA UNIDADE DO SESC LIMEIRA;40;KURKDJIAN & FRUCHTENGARTEN ENGENHEIROS ASSOCIADOS S/S LTDA;3,78916E+12;;101.069,44;ELABORAÇÃO DE PROJETO DE ESTRUTURA DE CONCRETO E METÁLICA PARA A NOVA UNIDADE DO SESC LIMEIRA
2017;CAO12000019/2017;1;ELABORAÇÃO DE PROJETO DE ESTRUTURA DE CONCRETO E METÁLICA PARA A NOVA UNIDADE DO SESC LIMEIRA;40;SVAIZER & GUTIERREZ ENGENHARIA LTDA. EPP;4,12309E+12;;686.558,85;ELABORAÇÃO DE PROJETO DE ESTRUTURA DE CONCRETO E METÁLICA PARA A NOVA UNIDADE DO SESC LIMEIRA
2017;CAO12000019/2017;1;ELABORAÇÃO DE PROJETO DE ESTRUTURA DE CONCRETO E METÁLICA PARA A NOVA UNIDADE DO SESC LIMEIRA;40;ENAR ENGENHARIA E ARQUITETURA LTDA. EPP;4,04503E+13;;739.892,55;ELABORAÇÃO DE PROJETO DE ESTRUTURA DE CONCRETO E METÁLICA PARA A NOVA UNIDADE DO SESC LIMEIRA
2017;CAO12000019/2017;1;ELABORAÇÃO DE PROJETO DE ESTRUTURA DE CONCRETO E METÁLICA PARA A NOVA UNIDADE DO SESC LIMEIRA;40;FALCÃO BAUER CENTRO TECNOLÓGICO DE CONTROLE DE QUALIDADE LTDA;5,30202E+13;;962.579,99;ELABORAÇÃO DE PROJETO DE ESTRUTURA DE CONCRETO E METÁLICA PARA A NOVA UNIDADE DO SESC LIMEIRA
2017;CAO12000019/2017;1;ELABORAÇÃO DE PROJETO DE ESTRUTURA DE CONCRETO E METÁLICA PARA A NOVA UNIDADE DO SESC LIMEIRA;40;BETA 2 ENGENHARIA LTDA;3,23385E+12;;1.082.845,00;ELABORAÇÃO DE PROJETO DE ESTRUTURA DE CONCRETO E METÁLICA PARA A NOVA UNIDADE DO SESC LIMEIRA
2017;CAO12000019/2017;1;ELABORAÇÃO DE PROJETO DE ESTRUTURA DE CONCRETO E METÁLICA PARA A NOVA UNIDADE DO SESC LIMEIRA;40;ESCRITÓRIO TÉC. JÚLIO KASSOY E MÁRIO FRANCO ENGS. CIVIS LTDA;6,15874E+13;;1.133.440,00;ELABORAÇÃO DE PROJETO DE ESTRUTURA DE CONCRETO E METÁLICA PARA A NOVA UNIDADE DO SESC LIMEIRA
2017;CAO12000019/2017;1;ELABORAÇÃO DE PROJETO DE ESTRUTURA DE CONCRETO E METÁLICA PARA A NOVA UNIDADE DO SESC LIMEIRA;40;COMPANHIA DE PROJETOS LTDA;6,66634E+13;;1.434.480,00;ELABORAÇÃO DE PROJETO DE ESTRUTURA DE CONCRETO E METÁLICA PARA A NOVA UNIDADE DO SESC LIMEIRA
2017;CAO12000019/2017;1;ELABORAÇÃO DE PROJETO DE ESTRUTURA DE CONCRETO E METÁLICA PARA A NOVA UNIDADE DO SESC LIMEIRA;40;STATURA ENGENHARIA E PROJETOS LTDA;4,63595E+13;;1.538.000,00;ELABORAÇÃO DE PROJETO DE ESTRUTURA DE CONCRETO E METÁLICA PARA A NOVA UNIDADE DO SESC LIMEIRA
2017;CAS12000001/2017;2;MANUTENÇÃO NOS SISTEMAS DE CLIMATIZAÇÃO DAS UNIDADES DO SESC;40;MENDES HOLLER ENGENHARIA, COMÉRCIO E CONSULTORIA LTDA;9,61637E+13;;180.247,50;MANUTENÇÃO NOS SISTEMAS DE CLIMATIZAÇÃO DAS UNIDADES DO SESC
2017;CAS12000001/2017;2;MANUTENÇÃO NOS SISTEMAS DE CLIMATIZAÇÃO DAS UNIDADES DO SESC;40;MENDES HOLLER ENGENHARIA, COMÉRCIO E CONSULTORIA LTDA;9,61637E+13;;180.247,50;MANUTENÇÃO NOS SISTEMAS DE CLIMATIZAÇÃO DAS UNIDADES DO SESC
2017;CAS12000001/2017;2;MANUTENÇÃO NOS SISTEMAS DE CLIMATIZAÇÃO DAS UNIDADES DO SESC;40;MENDES HOLLER ENGENHARIA, COMÉRCIO E CONSULTORIA LTDA;9,61637E+13;;223.107,50;MANUTENÇÃO NOS SISTEMAS DE CLIMATIZAÇÃO DAS UNIDADES DO SESC
2017;CAS12000001/2017;2;MANUTENÇÃO NOS SISTEMAS DE CLIMATIZAÇÃO DAS UNIDADES DO SESC;40;MENDES HOLLER ENGENHARIA, COMÉRCIO E CONSULTORIA LTDA;9,61637E+13;;223.107,50;MANUTENÇÃO NOS SISTEMAS DE CLIMATIZAÇÃO DAS UNIDADES DO SESC
2017;CAS12000001/2017;2;MANUTENÇÃO NOS SISTEMAS DE CLIMATIZAÇÃO DAS UNIDADES DO SESC;40;MENDES HOLLER ENGENHARIA, COMÉRCIO E CONSULTORIA LTDA;9,61637E+13;;258.762,00;MANUTENÇÃO NOS SISTEMAS DE CLIMATIZAÇÃO DAS UNIDADES DO SESC
2017;CAS12000001/2017;2;MANUTENÇÃO NOS SISTEMAS DE CLIMATIZAÇÃO DAS UNIDADES DO SESC;40;MENDES HOLLER ENGENHARIA, COMÉRCIO E CONSULTORIA LTDA;9,61637E+13;;258.762,00;MANUTENÇÃO NOS SISTEMAS DE CLIMATIZAÇÃO DAS UNIDADES DO SESC
2017;CAS12000001/2017;2;MANUTENÇÃO NOS SISTEMAS DE CLIMATIZAÇÃO DAS UNIDADES DO SESC;40;MENDES HOLLER ENGENHARIA, COMÉRCIO E CONSULTORIA LTDA;9,61637E+13;;292.800,00;MANUTENÇÃO NOS SISTEMAS DE CLIMATIZAÇÃO DAS UNIDADES DO SESC
2017;CAS12000001/2017;2;MANUTENÇÃO NOS SISTEMAS DE CLIMATIZAÇÃO DAS UNIDADES DO SESC;40;MENDES HOLLER ENGENHARIA, COMÉRCIO E CONSULTORIA LTDA;9,61637E+13;;292.800,00;MANUTENÇÃO NOS SISTEMAS DE CLIMATIZAÇÃO DAS UNIDADES DO SESC
